Load_KG,Load,Area,Stress,Length,Elongation,Strain
1,784.80,101.23,7.75,56.56,0,0
4,3139.20,101.23,31.01,56.56,2,0.04
7,5493.60,101.23,54.27,56.56,4,0.07
13,10202.40,101.23,100.78,56.56,6,0.11
18,14126.40,101.23,139.55,56.56,8,0.14
25,19620.00,101.23,193.82,56.56,10,0.18
29,22759.20,101.23,224.83,56.56,12,0.21
32,25113.60,101.23,248.08,56.56,14,0.25
35,27468.00,101.23,271.34,56.56,16,0.28
37,29037.60,101.23,286.85,56.56,18,0.32
43,33746.40,101.23,333.36,56.56,20,0.32
50,39240.00,101.23,387.63,56.56,22,0.35
52,40809.60,101.23,403.14,56.56,24,0.39
58,45518.40,101.23,449.65,56.56,26,0.42
60,47088.00,101.23,465.16,56.56,28,0.46
62,48657.60,101.23,480.66,56.56,30,0.5
68,53366.40,101.23,527.18,56.56,32,0.53
70,54936.00,101.23,542.68,56.56,34,0.57
72,56505.60,101.23,558.19,56.56,36,0.6
74,58075.20,101.23,573.7,56.56,38,0.64
75,58860.00,101.23,581.45,56.56,40,0.67
